#SIGMA-TAU POTENTIAL

#El = Energy with linear correlations.
#Eip = Energy with IP correlations (optimized with linear correlations)
#Eipip = Energy with IP correlations (optimized with IP correlations)
#En = Energy/nucleon for 14 neutrons
#Enp = Energy/nucleon for 14 neutrons + 2 protons

#rho,    El,      dEl,  Eip,     dEip, Eipip,   dEipip
#alpha energy 16Enp-12En
0.00025  -50.8    0.8   -52.3    0.5   -53.1    0.8
0.0005   -46.2    0.3   -50.3    0.7   -50.7    0.4
0.00075  -47.6    0.7   -48.4    1.0   -48.4    1.0
0.001    -40.3    1.0   -47.2    0.7   -45.9    1.1
0.0015   -36.4    0.8   -43.3    0.5   -47      3
0.002    -35.8    0.7   -41.2    0.8   -46.4    1.5
0.0025   -37.4    0.9   -42.4    1.5   -43.2    1.5
0.003    -38.3    0.8   -42      2     -42.44   1.0
0.004    -37.3    1.0   -37.4    0.7   -41.0    0.9
0.005    -35.0    1.3   -38.3    0.7   -43.0    0.7
0.007    -34.8    0.7   -42.3    0.8   -43      2
0.01     -39.0    0.9   -42.1    0.7   -42.6    0.8

#En
0.00025  -0.178   0.010 -0.333   0.014 -0.241   0.015
0.0005   -0.37    0.02  -0.37    0.02  -0.44    0.02
0.00075  -0.489   0.014 -0.50    0.02  -0.50    0.02
0.001    -0.617   0.015 -0.61    0.02  -0.64    0.02
0.0015   -0.79    0.02  -0.79    0.02  -0.79    0.02
0.002    -1.000   0.012 -1.01    0.02  -0.961   0.012
0.0025   -1.14    0.03  -1.15    0.02  -1.08    0.03
0.003    -1.263   0.011 -1.326   0.013 -1.29    0.02
0.004    -1.53    0.02  -1.56    0.02  -1.61    0.03
0.005    -1.68    0.02  -1.69    0.02  -1.71    0.02
0.007    -2.06    0.03  -2.09    0.02  -2.09    0.02
0.01     -2.47    0.03  -2.56    0.02  -2.56    0.02

#Enp
0.00025  -3.31    0.05  -3.52    0.03  -3.50    0.05
0.0005   -3.167   0.005 -3.42    0.04  -3.50    0.02
0.00075  -3.34    0.04  -3.40    0.06  -3.40    0.06
0.001    -2.99    0.06  -3.41    0.04  -3.35    0.07
0.0015   -2.87    0.05  -3.30    0.03  -3.5     0.2
0.002    -2.99    0.04  -3.33    0.05  -3.62    0.09
0.0025   -3.19    0.05  -3.51    0.09  -3.51    0.09
0.003    -3.34    0.05  -3.60    0.11  -3.62    0.06
0.004    -3.48    0.06  -3.51    0.04  -3.77    0.05
0.005    -3.45    0.08  -3.66    0.04  -3.97    0.04
0.007    -3.72    0.04  -4.21    0.05  -4.24    0.13
0.01     -4.29    0.05  -4.55    0.04  -4.58    0.05
