#TENSOR POTENTIAL

#El = Energy with linear correlations.
#Eip = Energy with IP correlations (optimized with linear correlations)
#Eipip = Energy with IP correlations (optimized with IP correlations)
#En = Energy/nucleon for 14 neutrons
#Enp = Energy/nucleon for 14 neutrons + 2 protons

#rho,    El,      dEl,  Eip,     dEip, Eipip,   dEipip
#alpha energy 16Enp-12En
0.00025  0.34     0.03     0.47     0.02     0.47     0.02
0.0005   0.31     0.02     0.41     0.02     0.43     0.02
0.00075  0.32     0.02     0.427    0.014    0.427    0.014
0.001    0.24     0.02     0.38     0.02     0.34     0.02
0.0015   0.19     0.02     0.33     0.02     0.35     0.05
0.002    0.180    0.015    0.261    0.010    0.325    0.014
0.0025   0.15     0.02     0.29     0.03     0.30     0.03
0.003    0.156    0.011    0.29     0.05     0.24     0.03
0.004    0.161    0.011    0.18     0.02     0.191    0.007
0.005    0.143    0.014    0.25     0.02     0.21     0.02
0.007    0.09     0.02     0.230    0.013    0.17     0.03
0.01     0.13     0.02     0.228    0.014    0.14     0.02

#En
0.00025  0.000001 0.000014 0.00003  0.00002  0.00005  0.00002
0.0005   0.00005  0.00002  0.000080 0.000014 0.00009  0.00003
0.00075  0.00010  0.00004  0.00019  0.00006  0.00019  0.00006
0.001    0.00029  0.00003  0.00024  0.00003  0.00020  0.00003
0.0015   0.00039  0.00003  0.00033  0.00005  0.00033  0.00005
0.002    0.00064  0.00006  0.00062  0.00004  0.00062  0.00008
0.0025   0.00084  0.00002  0.00096  0.00006  0.00075  0.00007
0.003    0.00117  0.00007  0.00120  0.00009  0.001097 0.000010
0.004    0.00151  0.00007  0.00186  0.00010  0.00191  0.00014
0.005    0.00265  0.00015  0.00229  0.00011  0.00254  0.00015
0.007    0.0044   0.0002   0.00418  0.00009  0.00418  0.00009
0.01     0.0070   0.0003   0.0065   0.0003   0.0065   0.0003

#Enp
0.00025  0.021    0.002    0.0294   0.0014   0.0296   0.0013
0.0005   0.0195   0.0013   0.0256   0.0012   0.0269   0.0013
0.00075  0.0203   0.0014   0.0268   0.0009   0.0268   0.0009
0.001    0.0155   0.0010   0.0238   0.0013   0.0215   0.0011
0.0015   0.0121   0.0013   0.0207   0.0014   0.022    0.003
0.002    0.0117   0.0009   0.0168   0.0006   0.0208   0.0009
0.0025   0.0100   0.0013   0.019    0.002    0.019    0.002
0.003    0.0106   0.0007   0.019    0.003    0.016    0.002
0.004    0.0112   0.0007   0.0124   0.0014   0.0134   0.0004
0.005    0.0109   0.0009   0.0172   0.0012   0.0152   0.0011
0.007    0.0088   0.0014   0.0175   0.0008   0.014    0.002
0.01     0.0131   0.0010   0.0191   0.0009   0.0139   0.0011
