#vc
#density, Elin, dElin, Eip, dEip, Eipip, dEipip
#alpha energy 16Enp-12En
0.00025  14.3     0.5   15.8     0.3   16.1     0.5
0.0005   13.1     0.3   14.6     0.3   14.6     0.3
0.00075  13.3     0.3   14.2     0.3   14.2     0.3
0.001    10.7     0.3   11.9     0.3   11.8     0.3
0.0015   8.8      0.5   10.1     0.3   11.3     0.6
0.002    8.1      0.3   9.2      0.2   10.6     0.5
0.0025   7.8      0.4   9.6      0.5   9.8      0.5
0.003    7.5      0.2   9.0      0.6   9.7      0.5
0.004    7.0      0.5   7.1      0.3   8.9      0.2
0.005    6.7      0.4   7.8      0.5   8.8      0.4
0.007    6.1      0.3   8.0      0.2   8.57     0.12
0.01     6.0      0.2   7.1      0.3   7.9      0.4

#En
0.00025  0.009    0.005 0.030    0.005 0.018    0.003
0.0005   0.029    0.003 0.034    0.002 0.039    0.007
0.00075  0.035    0.004 0.028    0.007 0.028    0.007
0.001    0.041    0.004 0.047    0.005 0.053    0.009
0.0015   0.053    0.009 0.049    0.008 0.049    0.008
0.002    0.059    0.005 0.068    0.004 0.062    0.008
0.0025   0.069    0.013 0.065    0.007 0.050    0.005
0.003    0.074    0.005 0.078    0.008 0.083    0.011
0.004    0.081    0.011 0.087    0.009 0.088    0.008
0.005    0.059    0.015 0.054    0.009 0.067    0.012
0.007    0.022    0.011 0.026    0.006 0.026    0.006
0.01     -0.068   0.010 -0.032   0.013 -0.032   0.013

#Enp
0.00025  0.90     0.03  1.01     0.02  1.02     0.03
0.0005   0.84     0.02  0.94     0.02  0.94     0.02
0.00075  0.86     0.02  0.91     0.02  0.91     0.02
0.001    0.70     0.02  0.78     0.02  0.78     0.02
0.0015   0.59     0.03  0.67     0.02  0.74     0.04
0.002    0.55     0.02  0.629    0.014 0.71     0.03
0.0025   0.54     0.02  0.65     0.03  0.65     0.03
0.003    0.527    0.009 0.62     0.04  0.67     0.03
0.004    0.50     0.03  0.51     0.02  0.622    0.010
0.005    0.46     0.02  0.53     0.03  0.60     0.02
0.007    0.40     0.02  0.520    0.013 0.555    0.006
0.01     0.326    0.013 0.422    0.013 0.47     0.02
