#vke
#density, Elin, dElin, Eip, dEip, Eipip, dEipip
#alpha energy 16Enp-12En
0.0005   72.7     1.1   85.5  1.1   85.8  0.5
0.001    65.0     1.3   85.76 1.5   81    2
0.002    59.9     1.1   77.8  1.5   85    3
0.003    63.2     1.1   84    3     78    2
0.005    57       2     79.3  0.5   78.3  1.1
0.01     58       2     129.5 1.3   122.1 1.3

#En
0.0005   1.05     0.02  1.06  0.02  1.13  0.02
0.001    1.69     0.02  1.68  0.03  1.71  0.02
0.002    2.678    0.015 2.68  0.02  2.62  0.02
0.003    3.437    0.015 3.51  0.02  3.47  0.03
0.005    4.65     0.02  4.67  0.03  4.70  0.02
0.01     7.15     0.04  3.009 0.009 3.009 0.009

#Enp
0.0005   5.33     0.07  6.14  0.07  6.21  0.03
0.001    5.33     0.08  6.62  0.09  6.32  0.11
0.002    5.75     0.07  6.87  0.09  7.3   0.2
0.003    6.53     0.07  7.9   0.2   7.46  0.11
0.005    7.05     0.13  8.46  0.02  8.42  0.07
0.01     9.02     0.09  10.35 0.08  9.89  0.08
