#vs
#density, Elin, dElin, Eip, dEip, Eipip, dEipip
#alpha energy 16Enp-12En
0.00025  -8.5     0.2   -6.2     0.2
0.0005   -6.3     0.2   -5.7     0.2   -5.8     0.2
0.00075  -6.5     0.2   -4.7     0.3   -4.7     0.3
0.001    -5.2     0.3   -5.4     0.3   -4.7     0.4
0.0015   -3.3     0.4   -3.4     0.2   -5.1     0.8
0.002    -3.1     0.2   -3.3     0.4   -5.0     0.3
0.0025   -3.5     0.4   -3.1     0.5   -3.7     0.5
0.003    -2.8     0.2   -1.2     0.5   -2.4     0.4
0.004    -2.9     0.3   -1.3     0.3   -3.0     0.3
0.005    -1.3     0.5   -0.5     0.4   -2.5     0.2
0.007    -1.4     0.4   -2.3     0.3   -2.6     0.7
0.01     -1.4     0.4   -0.9     0.3   -1.0     0.4

#En
0.00025  -0.115   0.007 -0.220   0.010
0.0005   -0.238   0.011 -0.244   0.011 -0.287   0.011
0.00075  -0.321   0.009 -0.325   0.011 -0.325   0.011
0.001    -0.405   0.010 -0.40    0.02  -0.421   0.012
0.0015   -0.521   0.014 -0.525   0.013 -0.525   0.013
0.002    -0.664   0.009 -0.669   0.013 -0.636   0.009
0.0025   -0.76    0.02  -0.77    0.02  -0.72    0.02
0.003    -0.844   0.008 -0.888   0.010 -0.864   0.015
0.004    -1.026   0.012 -1.05    0.02  -1.09    0.02
0.005    -1.13    0.02  -1.134   0.013 -1.150   0.013
0.007    -1.40    0.02  -1.414   0.013 -1.414   0.013
0.01     -1.68    0.02  -1.755   0.013 -1.755   0.013

#Enp
0.00025  -0.618   0.014 -0.552   0.008
0.0005   -0.574   0.011 -0.536   0.009 -0.580   0.008
0.00075  -0.649   0.014 -0.54    0.02  -0.54    0.02
0.001    -0.63    0.02  -0.636   0.008 -0.61    0.02
0.0015   -0.60    0.02  -0.609   0.010 -0.71    0.05
0.002    -0.692   0.011 -0.71    0.02  -0.79    0.02
0.0025   -0.79    0.02  -0.77    0.03  -0.77    0.03
0.003    -0.808   0.014 -0.74    0.03  -0.80    0.02
0.004    -0.948   0.014 -0.868   0.012 -0.952   0.011
0.005    -0.93    0.03  -0.88    0.02  -1.019   0.012
0.007    -1.14    0.02  -1.204   0.014 -1.22    0.04
0.01     -1.35    0.02  -1.372   0.013 -1.38    0.02
