#vst
#density, Elin, dElin, Eip, dEip, Eipip, dEipip
#alpha energy 16Enp-12En
0.0005   -46.2    0.3   -50.3    0.7   -50.7    0.4
0.001    -40.3    1.0   -47.2    0.7   -45.9    1.1
0.002    -35.8    0.7   -41.2    0.8   -46.4    1.5
0.003    -38.3    0.8   -42      2     -42.44   1.0
0.005    -35.0    1.3   -38.3    0.7   -43.0    0.7
0.01     -39.0    0.9   -42.1    0.7   -42.6    0.8

#En
0.0005   -0.37    0.02  -0.37    0.02  -0.44    0.02
0.001    -0.617   0.015 -0.61    0.02  -0.64    0.02
0.002    -1.000   0.012 -1.01    0.02  -0.961   0.012
0.003    -1.263   0.011 -1.326   0.013 -1.29    0.02
0.005    -1.68    0.02  -1.69    0.02  -1.71    0.02
0.01     -2.47    0.03  -2.56    0.02  -2.56    0.02

#Enp
0.0005   -3.167   0.005 -3.42    0.04  -3.50    0.02
0.001    -2.99    0.06  -3.41    0.04  -3.35    0.07
0.002    -2.99    0.04  -3.33    0.05  -3.62    0.09
0.003    -3.34    0.05  -3.60    0.11  -3.62    0.06
0.005    -3.45    0.08  -3.66    0.04  -3.97    0.04
0.01     -4.29    0.05  -4.55    0.04  -4.58    0.05
