#vten
#density, Elin, dElin, Eip, dEip, Eipip, dEipip
#alpha energy 16Enp-12En
0.0005   0.31     0.02     0.41     0.02     0.43     0.02
0.001    0.24     0.02     0.38     0.02     0.34     0.02
0.002    0.180    0.015    0.261    0.010    0.325    0.014
0.003    0.156    0.011    0.29     0.05     0.24     0.03
0.005    0.143    0.014    0.25     0.02     0.21     0.02
0.01     0.13     0.02     0.228    0.014    0.14     0.02

#En
0.0005   0.00005  0.00002  0.000080 0.000014 0.00009  0.00003
0.001    0.00029  0.00003  0.00024  0.00003  0.00020  0.00003
0.002    0.00064  0.00006  0.00062  0.00004  0.00062  0.00008
0.003    0.00117  0.00007  0.00120  0.00009  0.001097 0.000010
0.005    0.00265  0.00015  0.00229  0.00011  0.00254  0.00015
0.01     0.0070   0.0003   0.0065   0.0003   0.0065   0.0003

#Enp
0.0005   0.0195   0.0013   0.0256   0.0012   0.0269   0.0013
0.001    0.0155   0.0010   0.0238   0.0013   0.0215   0.0011
0.002    0.0117   0.0009   0.0168   0.0006   0.0208   0.0009
0.003    0.0106   0.0007   0.019    0.003    0.016    0.002
0.005    0.0109   0.0009   0.0172   0.0012   0.0152   0.0011
0.01     0.0131   0.0010   0.0191   0.0009   0.0139   0.0011
