#vtent
#density, Elin, dElin, Eip, dEip, Eipip, dEipip
#alpha energy 16Enp-12En
0.0005   -49.9    0.6      -61.7    0.6      -61.7    0.3
0.001    -46.2    0.6      -62.0    0.8      -59.1    1.0
0.002    -46.1    0.6      -59.7    0.6      -62.1    1.6
0.003    -50.3    0.6      -67      2        -62.1    1.0
0.005    -50.0    1.0      -65.0    0.8      -63.6    0.5
0.01     -56.1    0.6      -70.5    0.6      -66.1    0.8

#En
0.0005   -0.0015  0.0004   -0.0019  0.0002   -0.0015  0.0002
0.001    -0.0060  0.0004   -0.0047  0.0003   -0.0058  0.0005
0.002    -0.0148  0.0005   -0.0138  0.0008   -0.0141  0.0007
0.003    -0.0241  0.0009   -0.0244  0.0007   -0.02294 0.00010
0.005    -0.049   0.002    -0.0479  0.0006   -0.0500  0.0012
0.01     -0.121   0.003    -0.122   0.003    -0.122   0.003

#Enp
0.0005   -3.12    0.04     -3.86    0.04     -3.86    0.02
0.001    -2.89    0.04     -3.88    0.05     -3.70    0.06
0.002    -2.89    0.04     -3.74    0.04     -3.89    0.10
0.003    -3.16    0.04     -4.21    0.12     -3.90    0.06
0.005    -3.16    0.06     -4.10    0.05     -4.01    0.03
0.01     -3.60    0.04     -4.50    0.04     -4.22    0.05
