total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =   1347.973
total time for rebalance (sec) =      6.158



     cpu #       sent     received  maxnw       minnw

         0       104       133        21        17
         1       105       109        21        17
         2       108       132        21        16
         3       115       122        21        17
         4       111       114        20        17
         5       127       115        23        17
         6       124       122        21        17
         7       108       118        21        17
         8       127       137        21        17
         9       119       117        21        17
        10       117       123        21        17
        11       124       113        21        16
        12       130       136        21        17
        13        90       124        22        16
        14       119       123        21        17
        15       104        95        23        17
        16       115        98        21        17
        17       121       127        21        17
        18       122       124        21        16
        19       130       124        21        17
        20       100       107        21        17
        21       126       109        21        16
        22       125       133        21        16
        23       137       126        21        17
        24       126       111        22        17
        25       122       124        21        17
        26       144       123        21        16
        27       123       105        21        17
        28       101        99        21        17
        29        95       119        21        16
        30       110       105        21        17
        31       107        92        21        17
        32       107       118        21        17
        33       101        94        21        17
        34        90       121        22        17
        35       122       108        22        17
        36       121       119        21        17
        37       108       110        23        17
        38       129       111        21        16
        39       104       109        22        17
        40       121       128        21        17
        41        93       106        21        17
        42       116       108        21        17
        43       106       120        23        17
        44        86        99        21        17
        45       105        92        21        17
        46       132       127        21        17
        47        91       120        21        17
        48       109       100        22        17
        49       112       109        23        17
        50       109       102        21        16
        51       126       106        21        17
        52       104       107        21        16
        53       100       107        21        16
        54       120       115        21        17
        55       128       132        21        16
        56       113       119        21        17
        57       122       121        22        17
        58       130       112        21        16
        59       160       137        22        17
        60       141       129        21        17
        61        85       113        21        17
        62       115       117        22        17
        63       133       135        21        16
        64       118       120        21        16
        65       113       101        22        17
        66       113       109        21        17
        67       113       111        23        17
        68       121       115        22        17
        69       103       113        21        17
        70       112       121        21        16
        71       105       110        21        17
        72       109       113        23        16
        73       133       129        22        17
        74       105       119        21        16
        75       112       120        21        17
        76       128        98        21        17
        77       122       123        21        17
        78       107       109        21        17
        79       115       106        21        17
        80       128       101        22        17
        81       115        99        23        17
        82       101       111        22        16
        83       109       112        21        17
        84       119       110        21        17
        85       137       117        22        17
        86       105       114        21        16
        87       107       127        21        17
        88        95       110        21        16
        89       125       108        21        17
        90       104       111        21        17
        91       111       104        21        17
        92       139       112        22        17
        93       128       115        22        16
        94       114       113        21        17
        95       104        80        24        17
        96       131       117        22        17
        97       105       110        22        17
        98        98        93        22        17
        99       110        86        21        17
       100        99       106        22        17
       101       101       109        22        16
       102       120       100        21        17
       103       120       102        22        17
       104       104       113        22        17
       105        99       110        21        17
       106       108       107        21        16
       107        91       107        21        17
       108       117       118        22        16
       109        93        92        21        17
       110       122       108        21        17
       111        96        93        21        17
       112       110       118        21        17
       113       128       124        22        16
       114       107       102        22        17
       115       107       113        23        17
       116       112       105        22        17
       117       113       113        22        17
       118       111        97        21        16
       119       110       102        21        17
       120       132       120        23        17
       121       104       118        21        17
       122       117       124        22        17
       123       110       125        22        17
       124       126       113        22        16
       125        85       101        22        17
       126       102       119        21        16
       127       135       133        21        17
       128       115       125        22        17
       129       124       122        21        17
       130       124       121        22        17
       131       122       104        21        17
       132        95       100        21        17
       133       104        99        21        16
       134        98       121        21        17
       135       129       119        21        16
       136       124        95        21        16
       137        94        94        21        17
       138       111       124        23        17
       139        99       122        21        16
       140       103        92        21        17
       141       122       127        21        16
       142       118       105        21        16
       143       115       109        21        16
       144       116       102        22        17
       145        94       121        21        17
       146       131       123        21        17
       147       125       117        21        16
       148       111       115        21        17
       149        95       106        21        16
       150        94       103        21        17
       151       103       109        22        17
       152       101        94        22        17
       153       114       109        22        17
       154       138       103        22        17
       155        87        95        21        17
       156       115       103        22        17
       157        90       111        22        17
       158       100        94        22        17
       159        97        97        21        16
       160       104       105        21        17
       161       114       102        21        16
       162        94       101        22        17
       163       114       103        22        17
       164        78        91        22        17
       165       120        86        22        17
       166       103       109        22        16
       167       137       124        23        17
       168       117        99        22        16
       169       110        91        22        17
       170        98        89        21        17
       171       114        97        22        17
       172       116       116        21        17
       173       102       114        22        17
       174       112       109        21        16
       175       116       105        21        17
       176       136       114        21        17
       177       121       102        21        16
       178        70       107        21        17
       179       133       110        22        17
       180       116        96        21        16
       181        97        93        21        16
       182        97       109        21        17
       183       127       107        21        16
       184       104        96        21        17
       185       115       127        21        17
       186       118       119        21        16
       187       102       118        21        17
       188       132       119        22        16
       189       148       128        22        17
       190       131       106        22        17
       191       122       113        21        17
       192       111       113        22        17
       193        96        94        22        17
       194       112       116        21        17
       195       114       103        21        17
       196        96        99        21        17
       197       100       121        25        16
       198        93       118        23        16
       199       114       113        22        17
       200       124       123        21        17
       201       132       117        21        17
       202       100       101        21        17
       203       130       111        21        16
       204       133       123        21        16
       205        97       106        22        16
       206       107       116        22        17
       207       116       123        22        16
       208       110       126        21        17
       209       121       129        22        17
       210       105       108        22        16
       211       126       114        21        17
       212       121       122        23        17
       213       129       113        21        17
       214       104        99        21        17
       215       108       112        21        17
       216        98        91        21        17
       217       117       113        22        17
       218       108       110        21        17
       219       113       125        21        17
       220       131       100        22        16
       221       102        97        21        16
       222        86        89        21        17
       223        92        92        21        17
       224       126       112        21        17
       225       122       123        21        17
       226       121       130        22        17
       227       118       126        23        17
       228       104       127        21        16
       229       111       113        21        16
       230       129       131        22        17
       231        81       111        21        17
       232       131       132        22        16
       233       159       114        21        17
       234       116       115        21        17
       235       121       113        22        17
       236       123       124        21        16
       237       114       120        21        17
       238       119       115        22        16
       239       127       113        23        17
       240       123       123        21        17
       241       118       110        21        16
       242       123       127        21        17
       243       100        95        22        17
       244        96        99        22        17
       245       117       111        21        17
       246       127       119        21        16
       247        95       101        21        17
       248       108        98        21        17
       249        97       109        21        17
       250       101       103        21        17
       251       114       115        21        17
       252        95       119        22        17
       253        83       102        21        17
       254       109       100        22        17
       255       121       144        21        16
       256       108        99        21        16
       257       114        94        21        17
       258        99        86        22        17
       259        95        96        21        16
       260        76       121        22        17
       261       110       105        21        16
       262       108       121        22        17
       263        85        91        21        17
       264        88       112        21        17
       265       106       110        23        17
       266       126       131        22        17
       267       107       112        22        17
       268       104       111        21        17
       269        86        99        21        17
       270       103       112        22        17
       271       102       120        22        17
       272        93        98        21        17
       273       110        97        22        17
       274       107        89        21        17
       275       106       116        21        17
       276        92        81        21        17
       277       101        95        21        17
       278       105        92        21        17
       279        93       101        23        17
       280        75       101        21        17
       281        88        93        22        16
       282       107       102        22        17
       283        98       104        21        17
       284        86        81        21        17
       285       109       111        22        17
       286       119       105        22        17
       287        76       100        21        17
       288        84        94        21        17
       289       108       122        22        16
       290       108       117        22        17
       291       120       119        21        17
       292       118       112        22        17
       293        96       103        21        16
       294       127        99        21        17
       295       100       104        21        17
       296       140       121        22        17
       297       114       116        21        17
       298       121       107        21        17
       299        98        93        22        16
       300       143       110        22        17
       301       109       109        22        17
       302        98       106        22        17
       303        91        90        21        17
       304       116        93        21        17
       305       105       111        21        17
       306        98        93        22        16
       307        98       101        21        17
       308        89        94        21        17
       309       111       118        21        17
       310        90        99        21        17
       311       141       126        23        17
       312       113       101        21        17
       313        96       115        21        17
       314       135       115        21        17
       315       110       108        22        17
       316       112       128        22        17
       317       150       122        22        17
       318       103       113        22        17
       319       111       141        21        17
       320       143       146        21        17
       321       118       134        21        17
       322       145       142        22        17
       323       125       136        22        17
       324       138       147        22        17
       325       131       126        21        17
       326       156       141        23        16
       327       130       119        24        17
       328       123       142        22        17
       329       107       125        21        16
       330       160       134        22        17
       331       124       139        21        17
       332       139       150        22        17
       333       123       137        21        17
       334       144       143        22        17
       335       164       130        22        17
       336       150       134        22        17
       337       131       140        21        17
       338       122       115        22        17
       339       123       138        22        17
       340       125       136        21        16
       341       132       141        21        17
       342       145       135        21        17
       343       125       128        22        17
       344       127       136        21        17
       345       109       117        21        17
       346       113       118        22        17
       347       116       131        21        17
       348       103       120        21        17
       349       102       113        22        17
       350       104        89        21        17
       351       109       108        21        17
       352       128       133        22        17
       353       112       116        22        17
       354       129       149        22        17
       355       114       119        22        17
       356       108        97        23        17
       357       106       132        21        17
       358       111       113        22        17
       359        87       111        21        16
       360       122       108        21        17
       361       115       115        21        17
       362       106       129        22        17
       363       114        97        22        17
       364       116       131        22        17
       365       147       130        22        17
       366       106       104        21        17
       367       131       141        23        17
       368       134       129        21        17
       369        97       114        22        16
       370       132       124        23        17
       371       132       100        22        17
       372       113       123        25        17
       373       114        98        22        17
       374       122       127        23        17
       375       122       106        22        16
       376       104       106        23        17
       377        90        95        21        16
       378       119       112        22        17
       379        97       132        22        17
       380       113        95        22        17
       381       107        97        21        17
       382       111       126        21        16
       383       100       112        22        16
       384        98       104        21        17
       385       127       116        21        17
       386       125       113        21        17
       387       154       117        24        17
       388       135       124        22        17
       389       125       112        23        17
       390       104       121        22        17
       391       107        98        21        17
       392       110       114        21        17
       393       101       115        22        17
       394        99       107        21        17
       395       111        97        21        17
       396       119       112        21        17
       397       126       108        22        17
       398       117       109        21        17
       399       117       120        21        17
       400        96        93        21        17
       401       129       104        22        17
       402       100       117        21        17
       403       108       110        21        17
       404       103       120        23        17
       405       118        91        22        17
       406        93       101        22        17
       407       120       122        23        17
       408       113       116        22        17
       409       122       106        21        17
       410        87       127        21        17
       411        83       107        21        17
       412       118       115        21        17
       413       109       111        21        17
       414       121        94        22        17
       415       117       117        22        17
       416        96       111        23        17
       417       103       100        22        17
       418        94       128        22        17
       419       130       116        23        17
       420       108       120        23        17
       421       103        87        22        17
       422       105       104        21        17
       423        88        94        21        17
       424        99       102        21        17
       425       103       124        21        17
       426       100       112        21        17
       427       109       106        21        17
       428       116       114        21        17
       429       120       106        22        17
       430       112       111        21        17
       431       105       119        22        17
       432       120       119        22        17
       433       111       119        21        16
       434       126       136        21        17
       435       118       105        22        17
       436       120       128        21        17
       437       139       131        21        17
       438        99       122        22        17
       439       135       131        22        17
       440        96       100        21        16
       441       102       131        22        17
       442       151       121        22        17
       443        92       132        21        17
       444        92       101        22        17
       445       119       117        22        17
       446       121       122        21        17
       447       119       113        22        18
       448       143       139        21        17
       449       110       113        22        17
       450       120       120        23        16
       451       103       114        24        17
       452       152       122        22        17
       453       133       124        22        17
       454       101       120        21        17
       455       115       137        22        17
       456       117       112        22        17
       457       119       129        21        17
       458        91       120        21        17
       459       127       117        23        17
       460       137       132        22        17
       461       112       129        21        17
       462       117       145        21        17
       463       116       102        22        17
       464       117       115        22        17
       465       101       116        21        17
       466        95       127        21        17
       467       103       119        22        17
       468       139       136        22        16
       469       131       130        22        18
       470       120       114        23        17
       471       142       102        22        17
       472       106       127        22        17
       473       111       118        21        17
       474       115       113        22        17
       475       115       127        22        17
       476       126       104        21        18
       477        97       122        21        17
       478       127       113        22        18
       479       122       125        22        17
       480       122       143        22        17
       481       130       113        22        17
       482       130       110        22        17
       483        83       128        21        17
       484        98       100        22        18
       485       124       116        22        17
       486       124        99        22        18
       487       100       102        22        17
       488       132       102        22        17
       489       107       102        22        18
       490        95       102        22        17
       491       106        86        22        17
       492       128        90        21        18
       493        89       107        22        18
       494       103       122        22        17
       495       120       112        23        18
       496        79       111        24        18
       497       101       118        22        18
       498       121        85        22        18
       499       109        99        23        18

     total     56533     56533     10781      8426


checkpop calls        5000
rebalance calls       5000

number of walkers   47631805

number of walkers moved      0.119 %
