total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =    648.391
total time for rebalance (sec) =      6.141



     cpu #       sent     received  maxnw       minnw

         0       497       561        22        16
         1       506       544        22        16
         2       565       575        22        16
         3       571       530        22        16
         4       540       506        22        16
         5       503       555        22        16
         6       541       583        23        15
         7       525       532        24        16
         8       561       536        23        16
         9       513       521        22        16
        10       467       575        22        16
        11       576       505        22        16
        12       543       573        21        16
        13       580       548        22        16
        14       545       566        22        15
        15       553       539        21        16
        16       566       500        22        16
        17       571       545        22        16
        18       507       543        22        16
        19       490       494        22        16
        20       530       523        22        16
        21       517       535        22        16
        22       531       494        22        16
        23       475       501        22        15
        24       540       557        23        16
        25       505       520        22        16
        26       549       543        22        16
        27       547       487        22        16
        28       541       548        22        16
        29       486       495        22        16
        30       523       579        22        16
        31       525       568        22        16
        32       504       541        22        16
        33       505       530        22        16
        34       536       541        22        16
        35       559       530        24        16
        36       478       536        22        16
        37       542       538        22        16
        38       543       538        22        15
        39       531       522        21        16
        40       535       512        22        16
        41       512       497        22        15
        42       504       518        22        16
        43       517       581        22        16
        44       487       550        22        16
        45       489       507        22        15
        46       529       515        23        16
        47       480       517        22        16
        48       536       508        22        16
        49       546       535        22        16
        50       574       544        22        16
        51       542       562        24        16
        52       472       517        22        16
        53       550       544        22        16
        54       499       536        22        16
        55       545       478        23        16
        56       536       542        23        16
        57       565       504        22        16
        58       496       511        22        16
        59       511       514        22        15
        60       513       526        22        16
        61       508       535        22        16
        62       509       508        22        16
        63       489       501        22        16
        64       527       518        22        15
        65       529       533        22        16
        66       533       521        22        15
        67       518       493        22        16
        68       514       559        22        16
        69       503       519        22        15
        70       507       535        24        16
        71       541       538        22        15
        72       489       501        22        16
        73       514       542        22        16
        74       512       550        22        16
        75       525       521        22        16
        76       490       523        22        16
        77       529       501        22        16
        78       516       546        22        16
        79       565       524        22        16
        80       534       527        21        17
        81       565       513        22        16
        82       507       529        22        15
        83       500       486        22        16
        84       529       525        22        16
        85       542       562        22        16
        86       500       523        22        16
        87       514       485        22        16
        88       532       525        23        16
        89       496       520        22        16
        90       536       515        22        16
        91       531       546        22        16
        92       492       503        22        16
        93       517       527        22        16
        94       505       542        22        15
        95       503       508        22        16
        96       492       466        22        16
        97       496       495        22        16
        98       555       555        22        16
        99       507       513        22        16
       100       503       489        21        16
       101       524       504        22        16
       102       513       500        22        16
       103       505       504        22        15
       104       526       538        23        16
       105       506       510        22        16
       106       544       490        22        15
       107       493       510        22        16
       108       512       500        22        15
       109       478       508        22        16
       110       488       525        22        17
       111       496       486        22        16
       112       517       521        22        16
       113       520       514        22        16
       114       513       537        22        16
       115       501       480        22        16
       116       496       492        22        16
       117       541       510        22        16
       118       545       531        22        16
