total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =   2131.446
total time for rebalance (sec) =      6.318



     cpu #       sent     received  maxnw       minnw

         0       170       162        22        17
         1       164       165        23        16
         2       151       157        22        17
         3       206       155        23        16
         4       124       149        23        18
         5       140       142        22        18
         6       157       158        22        18
         7       159       182        23        16
         8       152       160        23        16
         9       177       182        23        17
        10       151       171        24        16
        11       162       162        23        16
        12       176       167        23        16
        13       151       172        23        17
        14       159       167        23        17
        15       183       179        23        18
        16       157       161        23        18
        17       173       167        23        17
        18       181       166        23        16
        19       175       184        23        18
        20       169       177        23        16
        21       164       181        23        19
        22       181       149        23        16
        23       141       167        23        18
        24       181       169        23        18
        25       174       159        23        18
        26       201       166        23        17
        27       156       156        23        16
        28       147       159        23        15
        29       145       158        23        18
        30       160       159        23        17
        31       166       155        23        15
        32       177       173        23        18
        33       138       148        24        17
        34       139       157        23        17
        35       148       167        23        18
        36       181       176        23        17
        37       145       141        23        18
        38       151       151        23        17
        39       160       166        24        18
        40       150       160        23        17
        41       176       172        23        17
        42       152       149        23        18
        43       148       172        23        17
        44       181       171        23        17
        45       158       149        23        17
        46       167       154        23        18
        47       185       172        24        16
        48       169       175        23        16
        49       162       160        23        17
        50       179       178        23        17
        51       164       167        23        16
        52       180       172        23        18
        53       172       153        23        16
        54       164       154        23        18
        55       155       148        23        17
        56       160       165        23        17
        57       165       150        23        17
        58       122       144        23        17
        59       160       175        23        18
        60       149       156        23        15
        61       149       167        23        17
        62       171       168        23        18
        63       164       149        24        18
        64       172       160        23        17
        65       138       173        23        16
        66       160       149        23        16
        67       137       166        23        18
        68       201       162        23        18
        69       142       185        23        16
        70       150       153        23        18
        71       158       151        23        15
        72       224       202        24        16
        73       165       145        23        17
        74       160       168        23        17
        75       137       174        23        17
        76       181       166        23        17
        77       182       169        23        17
        78       173       175        23        17
        79       179       174        24        16
        80       164       171        23        18
        81       175       179        23        17
        82       178       156        24        18
        83       156       163        23        17
        84       156       149        23        15
        85       174       156        23        19
        86       156       161        24        17
        87       149       148        24        18
        88       160       159        23        17
        89       182       156        24        18
        90       156       139        23        18
        91       179       166        23        17
        92       159       162        24        15
        93       176       165        24        17
        94       186       171        23        17
        95       159       156        23        18
        96       162       156        24        18
        97       158       156        23        17
        98       175       168        23        14
        99       181       156        23        14
       100       134       161        24        17
       101       151       178        24        16
       102       184       162        23        17
       103       171       145        23        17
       104       154       155        24        17
       105       140       151        23        18
       106       179       189        24        16
       107       144       147        24        19
       108       152       163        23        13
       109       153       165        23        16
       110       168       191        23        16
       111       135       133        23        18
       112       167       172        23        17
       113       161       167        24        18
       114       159       167        23        15
       115       189       188        23        16
       116       162       166        23        17
       117       159       156        23        16
       118       171       162        23        15
       119       164       155        24        17
       120       183       148        23        18
       121       149       185        23        16
       122       186       173        24        17
       123       150       163        24        18
       124       146       173        23        18
       125       185       154        24        17
       126       125       138        23        17
       127       157       173        23        17
       128       171       163        23        16
       129       161       160        23        17
       130       171       164        24        17
       131       189       182        23        17
       132       205       183        23        17
       133       154       126        23        18
       134       231       188        24        18
       135       154       166        23        17
       136       166       155        23        18
       137       153       155        23        18
       138       156       157        23        18
       139       159       170        23        17
       140       162       156        23        17
       141       149       146        24        18
       142       146       175        23        15
       143       164       162        24        17
       144       128       166        23        15
       145       166       182        23        18
       146       171       148        23        17
       147       155       145        23        16
       148       148       162        23        17
       149       160       197        23        17
       150       130       139        23        17
       151       150       147        23        17
       152       172       172        24        17
       153       127       159        23        17
       154       153       156        24        17
       155       152       167        23        16
       156       191       185        23        18
       157       147       182        24        16
       158       186       173        24        18
       159       154       149        23        16
       160       145       155        23        17
       161       144       158        23        17
       162       174       168        23        18
       163       202       162        23        17
       164       180       156        24        18
       165       208       175        24        16
       166       131       159        23        17
       167       154       164        24        16
       168       147       161        25        17
       169       159       150        23        18
       170       117       148        24        16
       171       142       148        23        18
       172       171       147        24        17
       173       159       164        23        18
       174       195       164        23        18
       175       196       172        24        16
       176       139       158        23        18
       177       177       167        23        15
       178       185       171        24        16
       179       148       172        23        18
       180       144       163        23        16
       181       156       157        23        17
       182       211       187        23        16
       183       162       159        23        17
       184       184       158        24        18
       185       188       147        23        17
       186       160       179        23        17
