total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =  12119.160
total time for rebalance (sec) =      6.770



     cpu #       sent     received  maxnw       minnw

         0       634       660        23        16
         1       612       619        23        15
         2       612       649        24        17
         3       680       641        23        15
         4       607       662        24        16
         5       669       636        24        15
         6       659       707        24        15
         7       637       637        24        17
         8       686       630        23        15
         9       666       604        24        16
        10       666       641        24        13
        11       649       654        24        17
        12       618       604        23        17
        13       573       607        24        17
        14       636       639        24        16
        15       580       631        24        17
        16       676       628        23        16
        17       627       623        24        16
        18       653       653        24        15
        19       638       648        23        17
        20       638       649        24        17
        21       658       635        24        17
        22       660       645        24        17
        23       647       606        24        16
        24       628       620        23        17
        25       613       650        24        17
        26       654       617        23        17
        27       645       666        24        14
        28       628       656        24        16
        29       637       637        24        17
        30       631       585        24        17
        31       599       606        23        17
        32       625       667        24        16
        33       594       621        24        17
        34       611       623        24        17
        35       651       623        24        16
        36       597       601        24        17
        37       581       633        24        17
        38       631       611        24        17
        39       588       672        24        17
        40       664       622        24        16
        41       642       673        24        17
        42       650       595        24        18
        43       631       615        25        17
        44       618       654        24        16
        45       609       621        24        16
        46       646       635        24        17
        47       637       640        24        17
        48       617       633        23        17
        49       630       625        24        17
        50       635       576        25        17
        51       594       652        24        16
        52       639       613        23        16
        53       630       633        24        16
        54       587       597        24        16
        55       652       665        25        16
        56       676       700        24        16
        57       689       619        25        16
        58       646       659        24        16
        59       652       658        24        16
        60       626       622        24        16
        61       591       619        24        16
        62       679       671        24        17
        63       582       623        25        17
        64       608       627        24        17
        65       577       595        24        16
        66       618       586        24        17
        67       640       638        25        17
        68       603       654        24        15
        69       616       609        24        17
        70       602       627        24        17
        71       624       600        24        17
        72       620       601        24        18
        73       583       611        23        11
        74       641       643        24        16
        75       662       687        24        16
        76       626       603        24        16
        77       621       599        24        18
        78       636       638        24        16
        79       608       634        24        17
        80       616       611        23        17
        81       658       644        24        17
        82       619       600        24        17
        83       629       615        24        17
        84       617       683        24        16
        85       626       593        24        18
        86       589       627        26        18
        87       590       634        24        16
        88       639       680        24        17
        89       610       625        24        18
        90       704       633        25        16
        91       617       606        24        17
        92       639       615        24        18
        93       597       637        25        16
        94       618       656        24        17
        95       629       613        25        15
        96       661       600        25        17
        97       586       685        24        18
        98       584       639        24        17
        99       641       626        24        17
       100       621       618        25        16
       101       637       596        24        16
       102       664       626        24        17
       103       633       609        24        17
       104       643       637        25        17
       105       634       653        24        15
       106       666       612        24        17
       107       679       670        24        17
       108       620       654        24        16
       109       661       609        24        17
       110       623       629        24        17
       111       616       628        25        17
       112       658       594        24        17
       113       650       665        24        16
       114       586       620        25        15
       115       618       656        24        17
       116       634       591        24        17
       117       664       615        24        17
       118       604       670        24        17
       119       615       640        24        16
       120       628       647        24        17
       121       645       597        24        17
       122       587       578        25        17
       123       624       618        25        18
       124       627       609        24        17
       125       640       657        25        17
       126       594       616        24        16
       127       603       593        24        16
       128       619       622        24        17
       129       619       614        24        17
       130       620       634        24        13
       131       611       619        24        17
       132       639       657        24        16
       133       626       608        24        17
       134       659       652        24        14
       135       628       617        24        17
       136       657       653        24        16
       137       598       621        24        16
       138       625       621        25        16
       139       596       622        24        17
       140       657       620        24        13
       141       608       624        24        16
       142       620       631        25        17
       143       623       634        24        17
       144       661       638        24        17
       145       610       613        25        18
       146       630       649        24        17
       147       660       613        24        17
       148       623       632        24        17
       149       641       647        24        17
       150       671       669        25        17
       151       631       641        24        16
       152       552       620        24        15
       153       578       611        24        17
       154       692       611        24        18
       155       560       661        24        17
       156       643       645        24        17
       157       631       588        24        16
       158       589       675        25        17
       159       625       649        24        17
       160       633       664        24        17
       161       673       627        24        17
       162       605       593        24        16
       163       635       653        25        16
       164       622       599        24        17
       165       628       651        24        16
       166       640       626        24        16
       167       644       631        25        17
       168       616       637        25        17
       169       665       672        24        17
       170       675       590        24        18
       171       689       690        24        17
       172       639       624        24        18
       173       590       676        24        18
       174       573       653        25        18
       175       653       622        24        16
       176       630       659        24        18
       177       622       618        24        18
       178       612       615        24        17
       179       631       642        25        17
       180       652       623        25        17
       181       688       605        25        16
       182       674       642        24        17
       183       636       606        24        17
       184       655       582        24        18
       185       589       591        24        17
       186       619       637        24        17
       187       652       646        24        18
       188       682       652        24        16
       189       700       645        25        15
       190       646       609        25        17
       191       674       653        24        16
       192       589       687        24        16
       193       601       622        24        14
       194       593       607        24        17
       195       680       622        24        15
       196       610       613        24        17
       197       677       636        26        17
       198       669       611        24        17
       199       619       655        25        17
       200       609       602        25        17
       201       596       601        24        17
       202       673       608        25        18
       203       657       608        25        17
       204       649       641        24        17
       205       611       614        24        14
       206       633       627        24        17
       207       640       656        24        16
       208       612       614        25        17
       209       701       649        24        17
       210       586       649        24        17
       211       680       622        24        16
       212       619       628        24        18
       213       600       675        24        17
       214       690       648        24        17
       215       700       608        25        16
       216       624       596        25        15
       217       680       618        25        17
       218       651       634        24        17
       219       651       583        25        14
       220       640       541        24        17
       221       630       621        24        18
