total number of boss =    500
total number of workers =      0
total number of cpu =    500
total time of execution (sec) =    833.906
total time for rebalance (sec) =      6.271



     cpu #       sent     received  maxnw       minnw

         0       178       171        23        17
         1       210       181        23        17
         2       148       172        23        16
         3       179       170        23        18
         4       153       167        22        16
         5       179       162        22        17
         6       121       181        22        16
         7       156       166        22        17
         8       151       171        23        15
         9       142       187        23        16
        10       183       176        22        17
        11       235       208        23        17
        12       144       185        23        18
        13       179       180        23        15
        14       159       168        23        18
        15       171       158        23        17
        16       174       171        23        17
        17       155       170        23        18
        18       175       178        23        17
        19       166       175        23        17
        20       147       176        23        17
        21       162       144        23        17
        22       172       147        23        18
        23       180       164        23        17
        24       158       158        23        17
        25       184       175        23        16
        26       154       170        22        18
        27       148       178        23        18
        28       154       171        23        18
        29       175       156        23        17
        30       165       168        23        16
        31       208       159        23        16
        32       175       153        23        15
        33       170       150        24        17
        34       172       159        24        17
        35       150       155        23        16
        36       154       171        23        17
        37       144       173        23        18
        38       169       188        23        17
        39       162       155        24        17
        40       154       153        24        17
        41       201       150        23        17
        42       198       179        23        17
        43       145       153        24        17
        44       166       154        23        17
        45       172       167        23        17
        46       188       171        23        18
        47       192       155        23        18
        48       179       170        23        16
        49       145       168        23        17
        50       152       176        23        16
        51       146       149        23        18
        52       191       174        23        17
        53       133       143        23        18
        54       157       154        23        15
        55       170       147        23        16
        56       168       151        24        17
        57       200       183        23        15
        58       176       161        23        17
        59       163       168        23        15
        60       218       167        23        18
        61       177       153        23        16
        62       126       158        23        18
        63       132       163        23        18
        64       178       156        23        18
        65       150       172        23        18
        66       200       168        23        15
        67       181       205        24        17
        68       167       167        23        18
        69       157       170        23        16
        70       136       156        23        17
        71       143       171        24        16
        72       183       171        23        17
        73       188       158        24        18
        74       188       183        23        16
        75       178       176        23        17
        76       171       157        23        18
        77       155       143        23        16
        78       165       167        23        15
        79       185       175        24        18
        80       173       170        24        17
        81       156       178        23        17
        82       171       149        23        17
        83       155       164        23        17
        84       135       154        23        18
        85       180       184        23        16
        86       169       185        23        17
        87       169       152        23        16
        88       255       200        23        13
        89       171       196        23        18
        90       137       150        23        17
        91       156       178        23        17
        92       134       144        23        17
        93       177       193        24        15
        94       156       156        24        17
        95       165       163        24        18
        96       173       146        23        16
        97       158       176        23        16
        98       164       177        24        17
        99       217       187        24        16
       100       178       173        23        17
       101       173       152        23        17
       102       171       172        23        16
       103       163       165        24        17
       104       189       155        24        18
       105       121       154        23        18
       106       145       169        23        18
       107       169       165        23        16
       108       177       162        23        17
       109       150       173        23        16
       110       156       160        24        15
       111       159       171        23        17
       112       154       163        23        16
       113       146       167        23        18
       114       145       161        23        18
       115       178       146        23        18
       116       179       159        24        17
       117       206       175        24        17
       118       139       163        24        17
       119       174       172        24        18
       120       159       181        23        16
       121       134       152        23        17
       122       165       164        23        16
       123       173       177        24        16
       124       166       166        23        18
       125       226       172        24        18
       126       169       157        23        17
       127       170       161        24        18
       128       182       156        24        18
       129       126       145        23        16
       130       160       162        24        17
       131       148       138        23        15
       132       182       168        24        15
       133       171       166        23        17
       134       150       174        23        16
       135       208       174        24        17
       136       196       180        24        17
       137       206       181        23        17
       138       185       183        23        17
       139       159       168        23        16
       140       151       152        23        15
       141       150       168        23        18
       142       156       149        24        17
       143       130       163        23        17
