Time for block (sec) (min) =                 8.446      0.141
Time for block (sec) (min) =                 7.863      0.131
Time for block (sec) (min) =                 8.466      0.141
Time for block (sec) (min) =                 8.510      0.142
Time for block (sec) (min) =                 8.461      0.141
Time for block (sec) (min) =                 8.571      0.143
Time for block (sec) (min) =                 8.351      0.139
Time for block (sec) (min) =                 8.090      0.135
Time for block (sec) (min) =                 8.440      0.141
Time for block (sec) (min) =                 8.616      0.144
Time for block (sec) (min) =                 7.964      0.133
Time for block (sec) (min) =                 8.524      0.142
Time for block (sec) (min) =                 8.719      0.145
Time for block (sec) (min) =                 7.936      0.132
Time for block (sec) (min) =                 8.279      0.138
Time for block (sec) (min) =                 8.383      0.140
Time for block (sec) (min) =                 8.673      0.145
Time for block (sec) (min) =                 7.934      0.132
Time for block (sec) (min) =                 8.529      0.142
Time for block (sec) (min) =                 7.963      0.133
Time for block (sec) (min) =                 8.468      0.141
Time for block (sec) (min) =                 8.381      0.140
Time for block (sec) (min) =                 8.451      0.141
Time for block (sec) (min) =                 7.972      0.133
Time for block (sec) (min) =                 8.331      0.139
